# 규율 7 의 기계화 — **지시문에 적힌 모든 백분율은 여기 등재돼야 한다.**
#
# ⚠ 왜 필요한가. §8 은 「이 절이 찍지 않으면 인용하지 마라」고 적어 뒀지만 그건 습관일 뿐
# 검사가 아니었고, 라운드 6 에서 두 번 깨졌다: ① `verification.md 1.5%` 는 **도구가 아예
# 찍지 않는 수**였고 ② 실제 값은 1.44% 라 반올림도 틀렸다. 등재를 강제하면 「근거 없는 수」는
# 못 들어오고, 「어느 절이 찍는가」가 적혀 있으니 다음 사람이 재현할 수 있다.
#
# ⚠ 이 표는 **값을 검증하지 않는다** — 코퍼스가 레포에 없어서 원리적으로 못 한다. 이것이
# 막는 것은 「출처 없는 수」이지 「틀린 수」가 아니다. 값은 도구를 동결 로그에 돌려 확인하라.
#
# ⚠ **백분율만이 아니다.** 라운드 12 에서 `implement.md` 가 개발자(서브에이전트)에게
# 「~78 turns」라고 말하는 것이 발견됐는데, 78 은 **MAIN(리더)** 중앙값이고 SUB 는 23 이다 —
# 비용을 3.4배 과장했다. 원장 검사가 `%` 만 훑었기 때문에 통과했다. 턴 수·건수도 등재한다.
# 값	찍는 절	무엇인가
50.6%	4d	파일을 끌어오는 것이 확실한 Bash 결과바이트 (하한)
62.1%	4d	같은 것의 상한 — 혼합 11.4% 를 전부 읽기로 셌을 때
13.0%	4d	순수 커맨드 출력 (하한)
24.5%	4d	같은 것의 상한
11.4%	4d	혼합(한 호출이 읽기+커맨드) — 나눌 수 없는 몫
3.88%	4c	Claude Code 가 흘린 tool-results/*.txt 재독의 적분 기여
16.9%	4c	docs/specs/<issue>/ 적분 기여 (도구는 16.92% 로 찍는다)
3.4%	4c	docs/standards/ 적분 기여 (도구는 3.36% 로 찍는다)
1.4%	4c	그중 verification.md 하나 (도구는 파일별 내역에서 1.44% 로 찍는다)
84%	4c	스필을 만든 Bash 중 파일 끌어오기를 품은 것 (M5 2차 효과 상한)
61%	4c	같은 것의 하한 — 순수 읽기만
16%	4c	스필 중 독립 항목(테스트·git) — 읽기를 줄여도 안 사라지는 몫
8.5%	11	유인 세션 59개 중 5개가 압축 — 9 이벤트
100%	-	수사적 표현(「전부」). 측정값이 아니다.
23	2	SUB(서브에이전트) 세션의 턴/세션 중앙값 — 개발자·감사자·테스터가 여기 속한다
54	2	같은 것의 p90
78	2	MAIN(리더) 세션의 턴/세션 중앙값 — SUB 와 혼동하지 마라
